time,BVSP.Open,BVSP.High,BVSP.Low,BVSP.Close,BVSP.Volume,BVSP.Adjusted
2024-03-08,128335,128338,125802,127071,11937900,127071
2024-03-07,128890,129188,128033,128340,7350000,128340
2024-03-06,128099,129323,128099,128890,11057900,128890
2024-03-05,128336,128989,127823,128098,9692200,128098
2024-03-04,129176,129307,128278,128341,7967700,128341
2024-03-01,129026,129716,128717,129180,9765100,129180
2024-02-29,130155,130155,128669,129020,12003100,129020
2024-02-28,131685,131685,129771,130155,9045600,130155
2024-02-27,129613,131696,129613,131689,10049000,131689
2024-02-26,129417,129978,129077,129609,7436900,129609
2024-02-23,130240,130624,129077,129419,9230300,129419
2024-02-22,130035,130829,129971,130241,10771700,130241
2024-02-21,129916,130034,129359,130032,12585700,130032
2024-02-20,129033,129916,128326,129916,12237000,129916
2024-02-19,128720,129036,128097,129036,5799100,129036
2024-02-16,127809,129069,127653,128726,10119100,128726
2024-02-15,127018,127824,126932,127804,10980100,127804
2024-02-14,128026,128026,126663,127018,7748300,127018
2024-02-09,128216,128896,127579,128026,12115800,128026
2024-02-08,129950,130126,127912,128217,13634900,128217
2024-02-07,130412,130552,129518,129608,15425400,129608
2024-02-06,127593,130417,127593,130416,13780300,130416
2024-02-05,127182,127834,126443,127593,9637200,127593
2024-02-02,128471,128878,126628,127182,10982800,127182
2024-02-01,127752,128481,127284,128481,10226400,128481
2024-01-31,127402,129558,127326,127752,12495200,127752
2024-01-30,128492,128492,127105,127402,10037400,127402
2024-01-29,128970,129068,127853,128503,8764500,128503
2024-01-26,128196,129252,127869,128967,8508000,128967
2024-01-25,127815,128697,127803,128169,8757600,128169
2024-01-24,128275,129446,127680,127816,8823800,127816
2024-01-23,126612,128331,126612,128263,9366100,128263
2024-01-22,127636,127843,125876,126602,9509100,126602
2024-01-19,127319,127820,126533,127636,11956900,127636
2024-01-18,128524,129047,127316,127316,12460800,127316
2024-01-17,129293,129296,128312,128524,9952500,128524
2024-01-16,131515,131517,129147,129294,11911300,129294
2024-01-15,130988,131606,130253,131521,5746600,131521
2024-01-12,130652,131927,130410,130988,10661900,130988
2024-01-11,130841,131308,129898,130649,9761700,130649
2024-01-10,131447,131628,130438,130841,8958400,130841
2024-01-09,132424,132426,131203,131447,9287500,131447
2024-01-08,132023,132498,131015,132427,8497500,132427
2024-01-05,131218,132635,130579,132023,9199700,132023
2024-01-04,132831,132885,131024,131226,8972300,131226
2024-01-03,132697,133576,132250,132834,8702400,132834
2024-01-02,134186,134195,132095,132697,8437800,132697
2023-12-28,134194,134392,133832,134185,7812700,134185
2023-12-27,133523,134195,133328,134194,6168200,134194
2023-12-26,132753,133645,132753,133533,0,133533
2023-12-22,132553,133035,132094,132753,8231100,132753
2023-12-21,130826,132277,130822,132182,8681000,132182
2023-12-20,131851,132341,130710,130804,10335800,130804
2023-12-19,131088,132047,131086,131851,9429700,131851
2023-12-18,130202,131447,130198,131084,9604400,131084
2023-12-15,130842,131661,129884,130197,15141000,130197
2023-12-14,129469,131260,129469,130842,15822800,130842
2023-12-13,126406,129793,126299,129465,15066200,129465
2023-12-12,126923,127359,126013,126403,10266500,126403
